🚺 womens symbol emoji	woman symbol, women's restroom, female restroom	1f6ba
🚻 restroom emoji	man and woman symbol with divider, unisex restroom, bathroom sign, toilet sign	1f6bb
🚼 baby symbol emoji	baby on board, baby changing station, baby change station, baby change symbol, nursery	1f6bc
🚽 toilet emoji	bathroom, loo, restroom	1f6bd
🚾 water closet emoji	toilet wc, wc	1f6be
🚿 shower emoji	shower head	1f6bf
🛀 bath emoji	bathing, hot bath	1f6c0
🛁 bathtub emoji	bubble bath	1f6c1
🛂 passport control emoji	border control	1f6c2
🛃 customs emoji	u+1f6c3	1f6c3
🛄 baggage claim emoji	u+1f6c4	1f6c4
🛅 left luggage emoji	locked suitcase	1f6c5
🛆 triangle with rounded corners 	caution	1f6c6
🛇 prohibited sign 	u+1f6c7	1f6c7
🛈 circled information source 	information	1f6c8
🛉 boys symbol 	u+1f6c9	1f6c9
🛊 girls symbol 	u+1f6ca	1f6ca
🛋 couch and lamp emoji	furniture, lifestyles	1f6cb
🛌 sleeping accommodation emoji	hotel, guestrooms	1f6cc
🛍 shopping bags emoji	shopping	1f6cd
🛎 bellhop bell emoji	reception, services	1f6ce
🛏 bed emoji	u+1f6cf	1f6cf
🛐 place of worship emoji	religious building	1f6d0
🛑 octagonal sign emoji	stop sign	1f6d1
🛒 shopping trolley emoji	shopping cart	1f6d2
🛠 hammer and wrench emoji	tools, repair facility	1f6e0
🛡 shield emoji	us road interstate highway	1f6e1
🛢 oil drum emoji	commodities	1f6e2
🛣 motorway emoji	u+1f6e3	1f6e3
🛤 railway track emoji	railroad	1f6e4
🛥 motor boat emoji	boat	1f6e5
🛦 up-pointing military airplane 	military airport	1f6e6
🛧 up-pointing airplane 	commercial airport	1f6e7
🛨 up-pointing small airplane 	airfield	1f6e8
🛩 small airplane emoji	u+1f6e9	1f6e9
🛪 northeast-pointing airplane 	u+1f6ea	1f6ea
🛫 airplane departure emoji	departures, aeroplane taking off, plane taking off	1f6eb
🛬 airplane arriving emoji	arrivals, aeroplane landing, plane landing	1f6ec
🛰 satellite emoji	u+1f6f0	1f6f0
🛱 oncoming fire engine 	fire	1f6f1
🛲 diesel locomotive 	train	1f6f2
🛳 passenger ship emoji	cruise line vacation	1f6f3
🛴 scooter emoji	u+1f6f4	1f6f4
🛵 motor scooter emoji	motor bike, motor cycle, vespa	1f6f5
🛶 canoe emoji	u+1f6f6	1f6f6
🛷 sled emoji	sledge, toboggan	1f6f7
🛸 flying saucer emoji	ufo	1f6f8
🤐 zipper-mouth face emoji	lips sealed, sealed lips, zip it	1f910
🤑 money-mouth face emoji	dollar sign eyes, money face, rich	1f911
🤒 face with thermometer emoji	covid-19, coronavirus, ill, sick	1f912
🤓 nerd face emoji	nerdy	1f913
🤔 thinking face emoji	chin thumb, thinker, throwing shade	1f914
🤕 face with head-bandage emoji	bandaged head, clumsy, injured	1f915
🤖 robot face emoji	android, robot	1f916
🤗 hugging face emoji	hug, hugging, hugs	1f917
🤘 sign of the horns emoji	devil fingers, heavy metal, rock on	1f918
🤙 call me hand emoji	phone hand, shaka	1f919
🤚 raised back of hand emoji	backhand	1f91a
🤛 left-facing fist emoji	left fist bump	1f91b
🤜 right-facing fist emoji	u+1f91c	1f91c
🤝 handshake emoji	shaking hands	1f91d
🤞 hand with index and middle fingers crossed emoji	fingers crossed, good luck	1f91e
🤟 i love you hand sign emoji	u+1f91f	1f91f
🤠 face with cowboy hat emoji	cowboy	1f920
🤡 clown face emoji	u+1f921	1f921
🤢 nauseated face emoji	disgust, vomit	1f922
🤣 rolling on the floor laughing emoji	rofl	1f923
🤤 drooling face emoji	drool	1f924
🤥 lying face emoji	liar, long nose, pinocchio	1f925
🤦 face palm emoji	frustration, disbelief, facepalm, hitting head, picard, smh	1f926
🤧 sneezing face emoji	gesundheit, covid-19, coronavirus	1f927
🤨 face with one eyebrow raised emoji	colbert, the rock	1f928
🤩 grinning face with star eyes emoji	excited, star eyes, starry eyed, wow face	1f929
🤪 grinning face with one large and one small eye emoji	crazy eyes, excited, wild	1f92a
🤫 face with finger covering closed lips emoji	hush, quiet, shh	1f92b
🤬 serious face with symbols covering mouth emoji	cursing, cussing, grawlix, swearing	1f92c
🤭 smiling face with smiling eyes and hand covering mouth emoji	u+1f92d	1f92d
🤮 face with open mouth vomiting emoji	spew, throwing up, vomit	1f92e
🤯 shocked face with exploding head emoji	mind blown	1f92f
🤰 pregnant woman emoji	pregnancy	1f930
🤱 breast-feeding emoji	breastfeeding	1f931
🤲 palms up together emoji	dua	1f932
🤳 selfie emoji	phone camera, selfie hand	1f933
🤴 prince emoji	u+1f934	1f934
🤵 man in tuxedo emoji	groom, man in suit	1f935
🤶 mother christmas emoji	mrs. claus, mrs claus	1f936
🤷 shrug emoji	shrug, shruggie	1f937
🤸 person doing cartwheel emoji	gymnastics, gymnast	1f938
🤹 juggling emoji	u+1f939	1f939
🤺 fencer emoji	fencing	1f93a
🤻 modern pentathlon 	u+1f93b	1f93b
🤼 wrestlers emoji	wrestling	1f93c
🤽 water polo emoji	u+1f93d	1f93d
🤾 handball emoji	u+1f93e	1f93e
🥀 wilted flower emoji	dead flower, drooping flower	1f940
🥁 drum with drumsticks emoji	u+1f941	1f941
🥂 clinking glasses emoji	celebration, formal toasting, champagne glasses, cheers	1f942
🥃 tumbler glass emoji	whisky, bourbon, liquor, rum, whiskey	1f943
🥄 spoon emoji	u+1f944	1f944
🥅 goal net emoji	u+1f945	1f945
🥆 rifle 	marksmanship, shooting, hunting	1f946
🥇 first place medal emoji	gold medal	1f947
🥈 second place medal emoji	silver medal	1f948
🥉 third place medal emoji	bronze medal	1f949
🥊 boxing glove emoji	u+1f94a	1f94a
🥋 martial arts uniform emoji	judo, karate, taekwondo	1f94b
🥌 curling stone emoji	u+1f94c	1f94c
🥐 croissant emoji	u+1f950	1f950
🥑 avocado emoji	u+1f951	1f951
🥒 cucumber emoji	gherkin, pickle	1f952
🥓 bacon emoji	rashers	1f953
🥔 potato emoji	baked potato, idaho potato	1f954
🥕 carrot emoji	u+1f955	1f955
🥖 baguette bread emoji	french bread	1f956
🥗 green salad emoji	salad	1f957
🥘 shallow pan of food emoji	paella, casserole	1f958
🥙 stuffed flatbread emoji	döner kebab, falafel, gyro, shawarma, doner kebab	1f959
🥚 egg emoji	chicken egg	1f95a
🥛 glass of milk emoji	milk	1f95b
🥜 peanuts emoji	nuts	1f95c
🥝 kiwifruit emoji	chinese gooseberry, kiwi	1f95d
🥞 pancakes emoji	hotcakes, crêpes, blini	1f95e
🥟 dumpling emoji	potsticker, gyooza, jiaozi, pierogi, empanada	1f95f
🥠 fortune cookie emoji	u+1f960	1f960
🥡 takeout box emoji	take-away box, oyster pail, chinese food box	1f961
🥢 chopsticks emoji	kuaizi, hashi, jeotgarak	1f962
🥣 bowl with spoon emoji	cereal bowl	1f963
🥤 cup with straw emoji	milkshake, smoothie, soda pop, soft drink	1f964
🥥 coconut emoji	cocoanut	1f965
🥦 broccoli emoji	u+1f966	1f966
🥧 pie emoji	u+1f967	1f967
🥨 pretzel emoji	u+1f968	1f968
🥩 cut of meat emoji	porkchop, chop, steak, meat	1f969
🥪 sandwich emoji	u+1f96a	1f96a
🥫 canned food emoji	can of food, tin can, tinned food	1f96b
🦀 crab emoji	u+1f980	1f980
🦁 lion face emoji	u+1f981	1f981
🦂 scorpion emoji	u+1f982	1f982
🦃 turkey emoji	thanksgiving turkey, wild turkey	1f983
🦄 unicorn face emoji	unicorn	1f984
🦅 eagle emoji	bald eagle	1f985
🦆 duck emoji	u+1f986	1f986
🦇 bat emoji	batman	1f987
🦈 shark emoji	great white shark	1f988
🦉 owl emoji	u+1f989	1f989
🦊 fox face emoji	fox	1f98a
🦋 butterfly emoji	u+1f98b	1f98b
🦌 deer emoji	buck, reindeer, stag	1f98c
🦍 gorilla emoji	u+1f98d	1f98d
🦎 lizard emoji	gecko	1f98e
🦏 rhinoceros emoji	rhino	1f98f
🦐 shrimp emoji	prawn	1f990
🦑 squid emoji	u+1f991	1f991
🦒 giraffe face emoji	u+1f992	1f992
🦓 zebra face emoji	u+1f993	1f993
