𝔈	mathematical fraktur capital e 	u+1d508	1d508
𝔉	mathematical fraktur capital f 	u+1d509	1d509
𝔊	mathematical fraktur capital g 	u+1d50a	1d50a
𝔋	defined in unicode	u+1d50b	1d50b
𝔌	defined in unicode	u+1d50c	1d50c
𝔍	mathematical fraktur capital j 	u+1d50d	1d50d
𝔎	mathematical fraktur capital k 	u+1d50e	1d50e
𝔏	mathematical fraktur capital l 	u+1d50f	1d50f
𝔐	mathematical fraktur capital m 	new testament majority text	1d510
𝔑	mathematical fraktur capital n 	u+1d511	1d511
𝔒	mathematical fraktur capital o 	u+1d512	1d512
𝔓	mathematical fraktur capital p 	u+1d513	1d513
𝔔	mathematical fraktur capital q 	u+1d514	1d514
𝔕	defined in unicode	u+1d515	1d515
𝔖	mathematical fraktur capital s 	septuagint, greek old testament	1d516
𝔗	mathematical fraktur capital t 	u+1d517	1d517
𝔘	mathematical fraktur capital u 	u+1d518	1d518
𝔙	mathematical fraktur capital v 	u+1d519	1d519
𝔚	mathematical fraktur capital w 	u+1d51a	1d51a
𝔛	mathematical fraktur capital x 	u+1d51b	1d51b
𝔜	mathematical fraktur capital y 	u+1d51c	1d51c
𝔝	defined in unicode	u+1d51d	1d51d
𝔞	mathematical fraktur small a 	u+1d51e	1d51e
𝔟	mathematical fraktur small b 	u+1d51f	1d51f
𝔠	mathematical fraktur small c 	u+1d520	1d520
𝔡	mathematical fraktur small d 	u+1d521	1d521
𝔢	mathematical fraktur small e 	u+1d522	1d522
𝔣	mathematical fraktur small f 	u+1d523	1d523
𝔤	mathematical fraktur small g 	u+1d524	1d524
𝔥	mathematical fraktur small h 	u+1d525	1d525
𝔦	mathematical fraktur small i 	u+1d526	1d526
𝔧	mathematical fraktur small j 	u+1d527	1d527
𝔨	mathematical fraktur small k 	u+1d528	1d528
𝔩	mathematical fraktur small l 	u+1d529	1d529
𝔪	mathematical fraktur small m 	u+1d52a	1d52a
𝔫	mathematical fraktur small n 	u+1d52b	1d52b
𝔬	mathematical fraktur small o 	u+1d52c	1d52c
𝔭	mathematical fraktur small p 	u+1d52d	1d52d
𝔮	mathematical fraktur small q 	u+1d52e	1d52e
𝔯	mathematical fraktur small r 	u+1d52f	1d52f
𝔰	mathematical fraktur small s 	u+1d530	1d530
𝔱	mathematical fraktur small t 	u+1d531	1d531
𝔲	mathematical fraktur small u 	u+1d532	1d532
𝔳	mathematical fraktur small v 	u+1d533	1d533
𝔴	mathematical fraktur small w 	u+1d534	1d534
𝔵	mathematical fraktur small x 	u+1d535	1d535
𝔶	mathematical fraktur small y 	u+1d536	1d536
𝔷	mathematical fraktur small z 	u+1d537	1d537
𝔸	mathematical double-struck capital a 	u+1d538	1d538
𝔹	mathematical double-struck capital b 	u+1d539	1d539
𝔺	defined in unicode	u+1d53a	1d53a
𝔻	mathematical double-struck capital d 	u+1d53b	1d53b
𝔼	mathematical double-struck capital e 	u+1d53c	1d53c
𝔽	mathematical double-struck capital f 	u+1d53d	1d53d
𝔾	mathematical double-struck capital g 	u+1d53e	1d53e
𝔿	defined in unicode	u+1d53f	1d53f
𝕀	mathematical double-struck capital i 	u+1d540	1d540
𝕁	mathematical double-struck capital j 	u+1d541	1d541
𝕂	mathematical double-struck capital k 	u+1d542	1d542
𝕃	mathematical double-struck capital l 	u+1d543	1d543
𝕄	mathematical double-struck capital m 	u+1d544	1d544
𝕅	defined in unicode	u+1d545	1d545
𝕆	mathematical double-struck capital o 	u+1d546	1d546
𝕇	defined in unicode	u+1d547	1d547
𝕈	defined in unicode	u+1d548	1d548
𝕉	defined in unicode	u+1d549	1d549
𝕊	mathematical double-struck capital s 	u+1d54a	1d54a
𝕋	mathematical double-struck capital t 	u+1d54b	1d54b
